収支区分,管理番号,発生日,支払期日,取引先,勘定科目,税区分,金額,税計算区分,税額,備考,品目,部門,メモタグ（複数指定可、カンマ区切り）,支払日,支払口座,支払金額
支出,,2024/10/30,,,仕入高,課対仕入（控80）10%,7781,内税,565,,,,,2024/10/30,freeeセゾンプラチナビジネスカード,7781
支出,,2024/10/29,,かじべい,会議費,課対仕入（控80）10%,1936,内税,140,"",,,,2024/10/29,現金,1936
支出,,2024/10/29,,ENEOS,車両費,課対仕入（控80）10%,3390,内税,246,"",,,,2024/10/29,現金,3390
支出,,2024/10/29,,百歩ラーメン,会議費,課対仕入（控80）10%,4240,内税,308,"",,,,2024/10/29,現金,4240
支出,,2024/10/29,,ケンデポ,仕入高,課対仕入（控80）10%,23933,内税,1740,"",,,,2024/10/29,現金,23933
支出,,2024/10/29,,コーナン,仕入高,課対仕入（控80）10%,1693,内税,123,"",,,,2024/10/29,現金,1693
支出,,2024/10/29,,ローソン,会議費,課対仕入（控80）10%,799,内税,58,"",,,,2024/10/29,現金,799
支出,,2024/10/29,,,外注費,課対仕入（控80）10%,220000,内税,16000,,,,,2024/10/29,川口信金（法人）（API）,220000
支出,,2024/10/29,,,支払手数料,課対仕入（控80）10%,440,内税,32,,,,,2024/10/29,川口信金（法人）（API）,440
支出,,2024/10/29,,,交際費,課対仕入（控80）10%,10670,内税,776,,,,,2024/10/29,freeeセゾンプラチナビジネスカード,10670
支出,,2024/10/28,,日高屋,会議費,課対仕入（控80）10%,2450,内税,178,"",,,,2024/10/28,現金,2450
支出,,2024/10/28,,ケンデポ,仕入高,課対仕入（控80）10%,11673,内税,848,"",,,,2024/10/28,現金,11673
支出,,2024/10/28,,ファミリーマート,会議費,課対仕入（控80）10%,2733,内税,198,"",,,,2024/10/28,現金,2733
支出,,2024/10/28,,セブンイレブン,会議費,課対仕入（控80）10%,2733,内税,198,"",,,,2024/10/28,現金,2733
支出,,2024/10/28,,,保険料,対象外,48870,内税,0,,,,,2024/10/28,川口信金（法人）（API）,48870
支出,,2024/10/28,,,長期未払金,対象外,65300,内税,0,,,,,2024/10/28,川口信金（法人）（API）,65300
支出,,2024/10/28,,,地代家賃,課対仕入（控80）10%,25457,内税,1851,,,,,2024/10/28,川口信金（法人）（API）,25457
支出,,2024/10/28,,,車両費,課対仕入（控80）10%,8250,内税,600,,,,,2024/10/28,川口信金（法人）（API）,8250
支出,,2024/10/28,,,車両費,課対仕入（控80）10%,11550,内税,840,,,,,2024/10/28,川口信金（法人）（API）,11550
支出,,2024/10/28,,,支払手数料,課対仕入（控80）10%,55000,内税,4000,,,,,2024/10/28,川口信金（法人）（API）,55000
支出,,2024/10/28,,,未払金,対象外,85000,内税,0,,,,,2024/10/28,川口信金（法人）（API）,85000
支出,,2024/10/28,,,外注費,課対仕入（控80）10%,500000,内税,36363,,,,,2024/10/28,川口信金（法人）（API）,500000
支出,,2024/10/28,,,支払手数料,課対仕入（控80）10%,220,内税,16,,,,,2024/10/28,みずほ（法人）（API）,220
支出,,2024/10/27,,養老乃瀧鳩ヶ谷南店,交際費,課対仕入（控80）10%,10026,内税,729,"",,,,2024/10/27,現金,10026
支出,,2024/10/27,,鹿沼カントリー?楽部,交際費,課対仕入（控80）10%,40220,内税,2925,"",,,,2024/10/27,現金,40220
支出,,2024/10/26,,ゴルフ５,交際費,課対仕入（控80）10%,8966,内税,652,"",,,,2024/10/26,現金,8966
支出,,2024/10/26,,パーキング117,車両費,課対仕入（控80）10%,600,内税,43,"",,,,2024/10/26,現金,600
支出,,2024/10/26,,有限会社山装,外注費,課対仕入10%,72380,内税,6580,"",,,,2024/12/16,川口信金（法人）（API）,72380
支出,,2024/10/26,,有限会社山装,外注費,課対仕入10%,31735,内税,2885,"",,,,2024/12/16,川口信金（法人）（API）,31735
支出,,2024/10/25,,日高屋,会議費,課対仕入（控80）10%,3210,内税,233,"",,,,2024/10/25,現金,3210
支出,,2024/10/25,,ゴルフ５,交際費,課対仕入（控80）10%,21983,内税,1598,"",,,,2024/10/25,現金,21983
支出,,2024/10/25,,セブンイレブン,会議費,課対仕入（控80）10%,1020,内税,74,"",,,,2024/10/25,現金,1020
支出,,2024/10/25,,セブンイレブン,会議費,課対仕入（控80）10%,999,内税,72,"",,,,2024/10/25,現金,999
支出,,2024/10/25,,セブンイレブン,会議費,課対仕入（控80）10%,3616,内税,262,"",,,,2024/10/25,現金,3616
支出,,2024/10/25,,セブンイレブン,会議費,課対仕入（控80）10%,3616,内税,262,"",,,,2024/10/25,現金,3616
支出,,2024/10/25,,セブンイレブン,会議費,課対仕入（控80）10%,999,内税,72,"",,,,2024/10/25,現金,999
支出,,2024/10/25,,セブンイレブン,会議費,課対仕入（控80）10%,1020,内税,74,"",,,,2024/10/25,現金,1020
支出,,2024/10/25,,,未払金,対象外,250000,内税,0,,,,,2024/10/25,川口信金（法人）（API）,250000
支出,,2024/10/25,,,未払金,対象外,200000,内税,0,,,,,2024/10/25,川口信金（法人）（API）,200000
支出,,2024/10/25,,,支払手数料,課対仕入（控80）10%,440,内税,32,,,,,2024/10/25,川口信金（法人）（API）,440
支出,,2024/10/25,,,未払金,対象外,300000,内税,0,,,,,2024/10/25,川口信金（法人）（API）,300000
支出,,2024/10/25,,,支払手数料,課対仕入（控80）10%,440,内税,32,,,,,2024/10/25,川口信金（法人）（API）,440
支出,,2024/10/25,,,消耗品費,課対仕入（控80）10%,13934,内税,1013,,,,,2024/10/25,freeeセゾンプラチナビジネスカード,13934
支出,,2024/10/25,,,仕入高,課対仕入（控80）10%,12807,内税,931,,,,,2024/10/25,freeeセゾンプラチナビジネスカード,12807
支出,,2024/10/24,,日高屋,会議費,課対仕入（控80）10%,2880,内税,209,"",,,,2024/10/24,現金,2880
支出,,2024/10/24,,お蕎麦屋杉うら,会議費,課対仕入（控80）10%,3420,内税,248,"",,,,2024/10/24,現金,3420
支出,,2024/10/24,,ミニストップ,会議費,課対仕入（控80）10%,2390,内税,173,"",,,,2024/10/24,現金,2390
支出,,2024/10/24,,ローソン,会議費,課対仕入（控80）10%,551,内税,40,"",,,,2024/10/24,現金,551
支出,,2024/10/24,,ローソン,会議費,課対仕入（控80）10%,551,内税,40,"",,,,2024/10/24,現金,551
支出,,2024/10/24,,ミニストップ,会議費,課対仕入（控80）10%,2390,内税,173,"",,,,2024/10/24,現金,2390
支出,,2024/10/24,,,仮払金,対象外,400000,内税,0,,,,,2024/10/24,川口信金（法人）（API）,400000
支出,,2024/10/24,,,支払手数料,課対仕入（控80）10%,440,内税,32,,,,,2024/10/24,川口信金（法人）（API）,440
収入,,2024/10/24,,,仮払金,対象外,400000,内税,0,"",,,,2024/10/24,みずほ（法人）（API）,400000
支出,,2024/10/24,,,支払手数料,課対仕入（控80）10%,220,内税,16,,,,,2024/10/24,みずほ（法人）（API）,220
支出,,2024/10/24,,,車両費,課対仕入（控80）10%,9381,内税,682,,,,,2024/10/24,freeeセゾンプラチナビジネスカード,9381
支出,,2024/10/24,,,仕入高,課対仕入（控80）10%,2725,内税,198,,,,,2024/10/24,freeeセゾンプラチナビジネスカード,2725
支出,,2024/10/24,,,仕入高,課対仕入（控80）10%,20928,内税,1522,,,,,2024/10/24,freeeセゾンプラチナビジネスカード,20928
支出,,2024/10/23,,,消耗品費,課対仕入10%,9234,内税,839,,,,,2024/10/23,Amazonビジネス（API）,9234
支出,,2024/10/23,,スタイルゴルフ,交際費,課対仕入（控80）10%,9000,内税,654,"",,,,2024/10/23,現金,9000
支出,,2024/10/23,,赤べえ,交際費,課対仕入（控80）10%,8712,内税,633,"",,,,2024/10/23,現金,8712
支出,,2024/10/23,,都賀カンツリー?楽部,交際費,課対仕入（控80）10%,15300,内税,1112,"",,,,2024/10/23,現金,15300
支出,,2024/10/23,,都賀カンツリー?楽部,交際費,課対仕入（控80）10%,15650,内税,1138,"",,,,2024/10/23,現金,15650
支出,,2024/10/23,,ローソン,会議費,課対仕入（控80）10%,297,内税,21,"",,,,2024/10/23,現金,297
支出,,2024/10/23,,セブンイレブン,会議費,課対仕入（控80）10%,2235,内税,162,"",,,,2024/10/23,現金,2235
支出,,2024/10/23,,ローソン,会議費,課対仕入（控80）10%,297,内税,21,"",,,,2024/10/23,現金,297
支出,,2024/10/23,,セブンイレブン,会議費,課対仕入（控80）10%,2235,内税,162,"",,,,2024/10/23,現金,2235
支出,,2024/10/23,,,諸会費,対象外,10000,内税,0,,,,,2024/10/23,川口信金（法人）（API）,10000
支出,,2024/10/23,,,消耗品費,課対仕入（控80）10%,9234,内税,671,,,,,2024/10/23,freeeセゾンプラチナビジネスカード,9234
支出,,2024/10/22,,豊洲千客万来専用駐車場,車両費,課対仕入（控80）10%,1500,内税,109,"",,,,2024/10/22,現金,1500
支出,,2024/10/22,,パークランド築地,車両費,課対仕入（控80）10%,400,内税,29,"",,,,2024/10/22,現金,400
支出,,2024/10/22,,ワークマン,消耗品費,課対仕入（控80）10%,3803,内税,276,"",,,,2024/10/22,現金,3803
支出,,2024/10/22,,,支払手数料,課対仕入（控80）10%,14969,内税,1088,,,,,2024/10/22,川口信金（法人）（API）,14969
支出,,2024/10/22,,,支払手数料,課対仕入（控80）10%,110,内税,8,,,,,2024/10/22,川口信金（法人）（API）,110
支出,,2024/10/22,,,仕入高,課対仕入（控80）10%,7128,内税,518,,,,,2024/10/22,freeeセゾンプラチナビジネスカード,7128
支出,,2024/10/22,,,仕入高,課対仕入（控80）10%,12680,内税,922,,,,,2024/10/22,freeeセゾンプラチナビジネスカード,12680
収入,20241021_11,2024/10/21,2024/10/25,鈴木誠,売上高,課税売上10%,66000,外税,6000,解体手間（既存厨房機器移動手間含む),,,,2024/10/21,川口信金（法人）（API）,2443089
,,,,,売上高,課税売上10%,49500,外税,4500,解体ごみ搬出処分費,,,,,,
,,,,,売上高,課税売上10%,108680,外税,9880,垂木　３０＊４０＊３０００　（店内用）,,,,,,
,,,,,売上高,課税売上10%,15939,外税,1449,杉柱材　１０５＊１０５＊３６００,,,,,,
,,,,,売上高,課税売上10%,56430,外税,5130,ラワン合板１２ｍｍ,,,,,,
,,,,,売上高,課税売上10%,20460,外税,1860,ラワン合板５ｍｍ,,,,,,
,,,,,売上高,課税売上10%,81312,外税,7392,ラーチ合板９ｍｍ,,,,,,
,,,,,売上高,課税売上10%,35838,外税,3258,パイン集成材　２０＊５００＊４２００＊ベンチ用,,,,,,
,,,,,売上高,課税売上10%,14630,外税,1330,タイルカーペット　４５０＊４５０＊ベンチ床用,,,,,,
,,,,,売上高,課税売上10%,49500,外税,4500,入口ドア吊り金物、レール等、ベンチ用金物　＊引き戸取っ手金物支給品,,,,,,
,,,,,売上高,課税売上10%,38500,外税,3500,ビス金物接着剤,,,,,,
,,,,,売上高,課税売上10%,770000,外税,70000,造作作業手間,,,,,,
,,,,,売上高,課税売上10%,50160,外税,4560,給排水配管材,,,,,,
,,,,,売上高,課税売上10%,20680,外税,1880,排水菅材,,,,,,
,,,,,売上高,課税売上10%,132000,外税,12000,配管工事労務費,,,,,,
,,,,,売上高,課税売上10%,38500,外税,3500,器具付け仕上げ工事,,,,,,
,,,,,売上高,課税売上10%,23760,外税,2160,レバー式水栓,,,,,,
,,,,,売上高,課税売上10%,55000,外税,5000,既存排水管高圧洗浄,,,,,,
,,,,,売上高,課税売上10%,90200,外税,8200,部材費　ライトレール８ｍ　４ｍｍ、２ｍｍ、ケーブル、スイッチコンセント部材等(照明器具別),,,,,,
,,,,,売上高,課税売上10%,104500,外税,9500,配線工事、器具付け仕上げ工事,,,,,,
,,,,,売上高,課税売上10%,113300,外税,10300,店内壁天井　水性塗料,,,,,,
,,,,,売上高,課税売上10%,60500,外税,5500,洗面カウンター　５０角タイル張り　扉付き,,,,,,
,,,,,売上高,課税売上10%,71500,外税,6500,厨房床長尺シート,,,,,,
,,,,,売上高,課税売上10%,90200,外税,8200,洗面所、トイレ　クロス張替え工事,,,,,,
,,,,,売上高,課税売上10%,82500,外税,7500,工事車両関係費　２５日　＠３０００,,,,,,
,,,,,売上高,課税売上10%,60500,外税,5500,工事発生残材処分費,,,,,,
,,,,,売上高,課税売上10%,143000,外税,13000,現場管理費、事務経費,,,,,,
支出,,2024/10/21,,ケンデポ,仕入高,課対仕入（控80）10%,1958,内税,142,"",,,,2024/10/21,現金,1958
支出,,2024/10/21,,足立入谷ＳＳ,車両費,課対仕入（控80）10%,5000,内税,363,"",,,,2024/10/21,現金,5000
支出,,2024/10/21,,幸楽苑,会議費,課対仕入（控80）10%,2160,内税,157,"",,,,2024/10/21,現金,2160
支出,,2024/10/21,,樹モールプラザ駐車場,車両費,課対仕入（控80）10%,1200,内税,87,"",,,,2024/10/21,現金,1200
支出,,2024/10/21,,ケンデポ,仕入高,課対仕入（控80）10%,294,内税,21,"",,,,2024/10/21,現金,294
支出,,2024/10/21,,,車両費,課対仕入（控80）10%,4425,内税,321,,,,,2024/10/21,freeeセゾンプラチナビジネスカード,4425
支出,,2024/10/21,,,交際費,課対仕入（控80）10%,29000,内税,2109,"",,,,2024/10/21,現金,29000
支出,,2024/10/20,,あさひが丘カントリークラブ,交際費,課対仕入（控80）10%,9455,内税,687,"",,,,2024/10/20,現金,9455
支出,,2024/10/20,,,交際費,課対仕入（控80）10%,10669,内税,775,,,,,2024/10/20,freeeセゾンプラチナビジネスカード,10669
支出,,2024/10/20,,,車両費,課対仕入（控80）10%,9070,内税,659,,,,,2024/10/20,freeeセゾンプラチナビジネスカード,9070
支出,,2024/10/19,,ケンデポ,仕入高,課対仕入（控80）10%,1130,内税,82,"",,,,2024/10/19,現金,1130
支出,,2024/10/19,,パカラ株式会社,車両費,課対仕入（控80）10%,1400,内税,101,"",,,,2024/10/19,現金,1400
支出,,2024/10/19,,おはな丼丸,会議費,課対仕入（控80）10%,2420,内税,176,"",,,,2024/10/19,現金,2420
支出,,2024/10/19,,セブンイレブン,会議費,課対仕入（控80）10%,869,内税,63,"",,,,2024/10/19,現金,869
支出,,2024/10/19,,セブンイレブン,会議費,課対仕入（控80）10%,869,内税,63,"",,,,2024/10/19,現金,869
支出,,2024/10/19,,,車両費,課対仕入（控80）10%,8405,内税,611,,,,,2024/10/19,freeeセゾンプラチナビジネスカード,8405
支出,,2024/10/19,,,仕入高,課対仕入（控80）10%,19536,内税,1420,,,,,2024/10/19,freeeセゾンプラチナビジネスカード,19536
支出,,2024/10/18,,三井のリパーク,車両費,課対仕入（控80）10%,900,内税,65,"",,,,2024/10/18,現金,900
支出,,2024/10/18,,リビングライフ株式会社,車両費,課対仕入（控80）10%,1500,内税,109,"",,,,2024/10/18,現金,1500
支出,,2024/10/18,,ラーメン花月,会議費,課対仕入（控80）10%,2690,内税,195,"",,,,2024/10/18,現金,2690
支出,,2024/10/18,,パカラ株式会社,車両費,課対仕入（控80）10%,1000,内税,72,"",,,,2024/10/18,現金,1000
支出,,2024/10/18,,かつや,会議費,課対仕入（控80）10%,1265,内税,92,"",,,,2024/10/18,現金,1265
支出,,2024/10/18,,ファミリーマート,会議費,課対仕入（控80）10%,611,内税,44,"",,,,2024/10/18,現金,611
支出,,2024/10/18,,セブンイレブン,会議費,課対仕入（控80）10%,1172,内税,85,"",,,,2024/10/18,現金,1172
支出,,2024/10/18,,ファミリーマート,会議費,課対仕入（控80）10%,611,内税,44,"",,,,2024/10/18,現金,611
支出,,2024/10/18,,セブンイレブン,会議費,課対仕入（控80）10%,1172,内税,85,"",,,,2024/10/18,現金,1172
支出,,2024/10/18,,,仕入高,課対仕入（控80）10%,2666,内税,193,,,,,2024/10/18,freeeセゾンプラチナビジネスカード,2666
支出,,2024/10/17,,ケンデポ,仕入高,課対仕入（控80）10%,3009,内税,218,"",,,,2024/10/17,現金,3009
支出,,2024/10/17,,ナビパーク,車両費,課対仕入（控80）10%,900,内税,65,"",,,,2024/10/17,現金,900
支出,,2024/10/17,,ローソン,会議費,課対仕入（控80）10%,3338,内税,242,"",,,,2024/10/17,現金,3338
支出,,2024/10/17,,ローソン,会議費,課対仕入（控80）10%,4210,内税,306,"",,,,2024/10/17,現金,4210
支出,,2024/10/17,,ローソン,会議費,課対仕入（控80）10%,792,内税,57,"",,,,2024/10/17,現金,792
支出,,2024/10/17,,ローソン,会議費,課対仕入（控80）10%,3338,内税,242,"",,,,2024/10/17,現金,3338
支出,,2024/10/17,,,仕入高,課対仕入（控80）10%,4809,内税,349,,,,,2024/10/17,freeeセゾンプラチナビジネスカード,4809
支出,,2024/10/16,,三井のリパーク,車両費,課対仕入（控80）10%,900,内税,65,"",,,,2024/10/16,現金,900
支出,,2024/10/16,,(株)コインパーク,車両費,課対仕入（控80）10%,3400,内税,247,"",,,,2024/10/16,現金,3400
支出,,2024/10/16,,ケンデポ,仕入高,課対仕入（控80）10%,1078,内税,78,"",,,,2024/10/16,現金,1078
支出,,2024/10/16,,ローソン,会議費,課対仕入（控80）10%,2293,内税,166,"",,,,2024/10/16,現金,2293
支出,,2024/10/16,,セブンイレブン,会議費,課対仕入（控80）10%,1928,内税,140,"",,,,2024/10/16,現金,1928
支出,,2024/10/16,,ローソン,会議費,課対仕入（控80）10%,2293,内税,166,"",,,,2024/10/16,現金,2293
支出,,2024/10/16,,セブンイレブン,会議費,課対仕入（控80）10%,1928,内税,140,"",,,,2024/10/16,現金,1928
支出,,2024/10/16,,セブンイレブン,会議費,課対仕入（控80）10%,667,内税,48,"",,,,2024/10/16,現金,667
支出,,2024/10/16,,,支払手数料,課対仕入（控80）10%,3300,内税,240,,,,,2024/10/16,川口信金（法人）（API）,3300
支出,,2024/10/16,,,仕入高,課対仕入（控80）10%,15241,内税,1108,,,,,2024/10/16,freeeセゾンプラチナビジネスカード,15241
支出,,2024/10/15,,株式会社黒澤工務店,支払手数料,課対仕入10%,4785,内税,435,,,,,2024/10/15,川口信金（法人）（API）,4785
支出,,2024/10/15,,ワークマン,消耗品費,課対仕入（控80）10%,980,内税,71,"",,,,2024/10/15,現金,980
支出,,2024/10/15,,島忠ホームズ,仕入高,課対仕入（控80）10%,3508,内税,255,"",,,,2024/10/15,現金,3508
支出,,2024/10/15,,株式会社イシダ,外注費,課対仕入（控80）10%,11770,内税,856,"",,,,2024/10/15,現金,11770
支出,,2024/10/15,,ナビパーク,車両費,課対仕入（控80）10%,400,内税,29,"",,,,2024/10/15,現金,400
支出,,2024/10/15,,パークレポ,車両費,課対仕入（控80）10%,700,内税,50,"",,,,2024/10/15,現金,700
支出,,2024/10/15,,リビングライフ株式会社,車両費,課対仕入（控80）10%,1500,内税,109,"",,,,2024/10/15,現金,1500
支出,,2024/10/15,,中華料理華宴,会議費,課対仕入（控80）10%,1100,内税,80,"",,,,2024/10/15,現金,1100
支出,,2024/10/15,,ファミリーマート,会議費,課対仕入（控80）10%,258,内税,18,"",,,,2024/10/15,現金,258
支出,,2024/10/15,,ファミリーマート,会議費,課対仕入（控80）10%,510,内税,37,"",,,,2024/10/15,現金,510
支出,,2024/10/15,,ファミリーマート,会議費,課対仕入（控80）10%,258,内税,18,"",,,,2024/10/15,現金,258
支出,,2024/10/15,,ファミリーマート,会議費,課対仕入（控80）10%,510,内税,37,"",,,,2024/10/15,現金,510
支出,,2024/10/15,,,諸会費,対象外,19800,内税,0,,,,,2024/10/15,川口信金（法人）（API）,19800
支出,,2024/10/15,,,支払手数料,課対仕入（控80）10%,270,内税,19,,,,,2024/10/15,川口信金（法人）（API）,270
支出,,2024/10/15,,,仕入高,課対仕入（控80）10%,1738,内税,126,,,,,2024/10/15,freeeセゾンプラチナビジネスカード,1738
支出,,2024/10/15,,,仕入高,課対仕入（控80）10%,21696,内税,1577,,,,,2024/10/15,freeeセゾンプラチナビジネスカード,21696
収入,20241014-12,2024/10/14,2024/10/30,ＡＰＳＴＵＤＩＯ株式会社,売上高,課税売上10%,286110,外税,26010,防音床フローリング,,,,2024/11/10,川口信金（法人）（API）,550110
,,,,,売上高,課税売上10%,110000,外税,10000,フローリング施工費用,,,,,,
,,,,,売上高,課税売上10%,33000,外税,3000,床下断熱材材工,,,,,,
,,,,,売上高,課税売上10%,121000,外税,11000,天井化粧板檜材4m(30*105),,,,,,
,,,,,売上高,課税売上10%,88000,外税,8000,化粧板取り付け施工費用,,,,,,
,,,,,売上高,課税売上10%,82500,外税,7500,キッチン変更　※1,,,,,,
,,,,,売上高,課税売上10%,-170500,外税,-15500,前回工事差額　※2,,,,,,
収入,20241014-11,2024/10/14,2024/10/30,ＡＰＳＴＵＤＩＯ株式会社,売上高,課税売上10%,4051280,内税,368298,こぶしマンション２０１改修工事残金,,,,2024/10/25,川口信金（法人）（API）,2000000
,,,,,,,,,,,,,,2024/11/10,川口信金（法人）（API）,2051280
支出,,2024/10/14,,デイパーク,車両費,課対仕入（控80）10%,600,内税,43,"",,,,2024/10/14,現金,600
支出,,2024/10/14,,デイパーク,車両費,課対仕入（控80）10%,600,内税,43,"",,,,2024/10/14,現金,600
支出,,2024/10/14,,ローソン,会議費,課対仕入（控80）10%,4138,内税,300,"",,,,2024/10/14,現金,4138
支出,,2024/10/14,,セブンイレブン,会議費,課対仕入（控80）10%,424,内税,30,"",,,,2024/10/14,現金,424
支出,,2024/10/14,,ローソン,会議費,課対仕入（控80）10%,4138,内税,300,"",,,,2024/10/14,現金,4138
支出,,2024/10/14,,セブンイレブン,会議費,課対仕入（控80）10%,424,内税,30,"",,,,2024/10/14,現金,424
支出,,2024/10/14,,,仕入高,課対仕入（控80）10%,19838,内税,1442,,,,,2024/10/14,freeeセゾンプラチナビジネスカード,19838
支出,,2024/10/13,,あさひが丘カントリークラブ,交際費,課対仕入（控80）10%,18790,内税,1366,"",,,,2024/10/13,現金,18790
支出,,2024/10/13,,,交際費,課対仕入（控80）10%,9809,内税,713,,,,,2024/10/13,freeeセゾンプラチナビジネスカード,9809
支出,,2024/10/12,,ロイヤルホームセンター,仕入高,課対仕入（控80）10%,14817,内税,1077,"",,,,2024/10/12,現金,14817
支出,,2024/10/12,,ロイヤルホームセンター,仕入高,課対仕入（控80）10%,4812,内税,349,"",,,,2024/10/12,現金,4812
支出,,2024/10/12,,ロイヤルホームセンター,仕入高,課対仕入（控80）10%,20364,内税,1481,"",,,,2024/10/12,現金,20364
支出,,2024/10/12,,大阪王将飯田橋支店,会議費,課対仕入（控80）10%,6170,内税,448,"",,,,2024/10/12,現金,6170
支出,,2024/10/12,,セブンイレブン,会議費,課対仕入（控80）10%,1068,内税,77,"",,,,2024/10/12,現金,1068
支出,,2024/10/12,,セブンイレブン,会議費,課対仕入（控80）10%,1068,内税,77,"",,,,2024/10/12,現金,1068
支出,,2024/10/12,,,車両費,課対仕入（控80）10%,8332,内税,605,,,,,2024/10/12,freeeセゾンプラチナビジネスカード,8332
支出,,2024/10/12,,,仕入高,課対仕入（控80）10%,4259,内税,309,,,,,2024/10/12,freeeセゾンプラチナビジネスカード,4259
支出,,2024/10/11,,杉乃郷カントリークラブ,交際費,課対仕入（控80）10%,19500,内税,1418,"",,,,2024/10/11,現金,19500
支出,,2024/10/11,,タイムパーキング,車両費,課対仕入（控80）10%,700,内税,50,"",,,,2024/10/11,現金,700
支出,,2024/10/11,,中華料理菜来軒,会議費,課対仕入（控80）10%,3300,内税,240,"",,,,2024/10/11,現金,3300
支出,,2024/10/11,,ファミリーマート,会議費,課対仕入（控80）10%,2155,内税,156,"",,,,2024/10/11,現金,2155
支出,,2024/10/11,,ファミリーマート,会議費,課対仕入（控80）10%,2155,内税,156,"",,,,2024/10/11,現金,2155
支出,,2024/10/11,,,車両費,課対仕入（控80）10%,6000,内税,436,,,,,2024/10/11,freeeセゾンプラチナビジネスカード,6000
支出,,2024/10/11,,,仕入高,課対仕入（控80）10%,25536,内税,1857,,,,,2024/10/11,freeeセゾンプラチナビジネスカード,25536
収入,,2024/10/10,,,役員借入金,対象外,550000,内税,0,,,,,2024/10/10,川口信金（法人）（API）,550000
収入,,2024/10/10,,株式会社アストライズ,仮受金,対象外,115230,内税,0,,,,,2024/10/10,みずほ（法人）（API）,115230
支出,,2024/10/10,,タイムパーキング,車両費,課対仕入（控80）10%,700,内税,50,"",,,,2024/10/10,現金,700
支出,,2024/10/10,,中華料理菜来軒,会議費,課対仕入（控80）10%,2000,内税,145,"",,,,2024/10/10,現金,2000
支出,,2024/10/10,,セブンイレブン,会議費,課対仕入（控80）10%,797,内税,57,"",,,,2024/10/10,現金,797
支出,,2024/10/10,,セブンイレブン,会議費,課対仕入（控80）10%,797,内税,57,"",,,,2024/10/10,現金,797
支出,,2024/10/10,,,支払利息,対象外,3493,内税,0,,,,,2024/10/10,川口信金（法人）（API）,3493
支出,,2024/10/10,,,未払金,対象外,450000,内税,0,,,,,2024/10/10,川口信金（法人）（API）,450000
支出,,2024/10/10,,,外注費,課対仕入（控80）10%,684502,内税,49781,,,,,2024/10/10,川口信金（法人）（API）,684502
支出,,2024/10/10,,,支払手数料,課対仕入（控80）10%,440,内税,32,,,,,2024/10/10,川口信金（法人）（API）,440
支出,,2024/10/10,,,支払手数料,課対仕入（控80）10%,660,内税,48,,,,,2024/10/10,みずほ（法人）（API）,660
支出,,2024/10/10,,,車両費,課対仕入（控80）10%,4249,内税,309,,,,,2024/10/10,freeeセゾンプラチナビジネスカード,4249
支出,,2024/10/10,,,仕入高,課対仕入（控80）10%,22721,内税,1652,,,,,2024/10/10,freeeセゾンプラチナビジネスカード,22721
支出,,2024/10/09,,島忠ホームズ,仕入高,課対仕入（控80）10%,4577,内税,332,"",,,,2024/10/09,現金,4577
支出,,2024/10/09,,島忠ホームズ,仕入高,課対仕入（控80）10%,4951,内税,360,"",,,,2024/10/09,現金,4951
支出,,2024/10/09,,島忠ホームズ,仕入高,課対仕入（控80）10%,327,内税,23,"",,,,2024/10/09,現金,327
支出,,2024/10/09,,中華料理華宴,会議費,課対仕入（控80）10%,2600,内税,189,"",,,,2024/10/09,現金,2600
支出,,2024/10/09,,,消耗品費,課対仕入（控80）10%,11282,内税,820,,,,,2024/10/09,freeeセゾンプラチナビジネスカード,11282
支出,,2024/10/09,,,消耗品費,課対仕入（控80）10%,862,内税,62,,,,,2024/10/09,freeeセゾンプラチナビジネスカード,862
支出,,2024/10/09,,,旅費交通費,課対仕入（控80）10%,520,内税,37,,,,,2024/10/09,freeeセゾンプラチナビジネスカード,520
支出,,2024/10/09,,,旅費交通費,課対仕入（控80）10%,430,内税,31,,,,,2024/10/09,freeeセゾンプラチナビジネスカード,430
支出,,2024/10/09,,,旅費交通費,課対仕入（控80）10%,470,内税,34,,,,,2024/10/09,freeeセゾンプラチナビジネスカード,470
支出,,2024/10/09,,,旅費交通費,課対仕入（控80）10%,470,内税,34,,,,,2024/10/09,freeeセゾンプラチナビジネスカード,470
支出,,2024/10/09,,,旅費交通費,課対仕入（控80）10%,370,内税,26,,,,,2024/10/09,freeeセゾンプラチナビジネスカード,370
支出,,2024/10/09,,,支払手数料,課対仕入（控80）10%,220,内税,16,,,,,2024/10/09,みずほ（法人）（API）,220
支出,,2024/10/08,,株式会社イシダ,外注費,課対仕入（控80）10%,13310,内税,968,"",,,,2024/10/08,現金,13310
支出,,2024/10/08,,三井のリパーク,車両費,課対仕入（控80）10%,900,内税,65,"",,,,2024/10/08,現金,900
支出,,2024/10/08,,,預り金,対象外,100000,内税,0,,,,,2024/10/08,川口信金（法人）（API）,100000
支出,,2024/10/07,,,消耗品費,課対仕入8%（軽）,1209,内税,89,,,,,2024/10/07,Amazonビジネス（API）,1209
支出,,2024/10/07,,,消耗品費,課対仕入8%（軽）,1209,内税,89,,,,,2024/10/07,Amazonビジネス（API）,1209
支出,,2024/10/07,,,消耗品費,課対仕入10%,1960,内税,178,,,,,2024/10/07,Amazonビジネス（API）,1960
支出,,2024/10/07,,,消耗品費,課対仕入10%,1960,内税,178,,,,,2024/10/07,Amazonビジネス（API）,1960
